folder,file,title,year,sport,novelty,practicality,reproducibility,composite,data,code,one_line
curated,"1971 Operations Research on Football - Carter, Virgil and Machol, Robert E..pdf",Operations Research on Football,1971,NFL,10,7,6,23,public,no,Seminal expected point values by field position from hand-charted NFL plays; foundation of all modern EPA work.
curated,2003 Colley Matrix Method.pdf,Colley's Bias Free College Football Ranking Method: The Colley Matrix Explained,2003,CFB,7,6,9,22,public,no,"Fully-derived linear-algebra win-loss ranking system, bias-free strength-of-schedule adjustment, used in the BCS."
curated,2005 Overconfidence vs Market Efficiency in the NFL.pdf,Overconfidence vs. Market Efficiency in the National Football League,2005,NFL,9,9,7,25,mixed,no,Massey-Thaler show top draft picks are systematically overvalued; basis of modern pick surplus-value charts.
curated,2007 A starting point for analyzing basketball statistics.pdf,A Starting Point for Analyzing Basketball Statistics,2007,NBA,6,8,9,23,public,no,"Canonical codification of possession framework, Four Factors, ratings and pace adjustment by Kubatko/Oliver/Pelton/Rosenbaum."
curated,2010 A_Regression_Based_Adjusted_Plus_Minus_Statistic for NHL - McDonald.pdf,A Regression-based Adjusted Plus-Minus Statistic for NHL Players,2010,NHL,7,7,8,22,public,no,"First adjusted plus-minus for hockey using NHL.com shift reports and weighted least squares, with offensive/defensive splits."
curated,2010 NBA Adjusted Plus Minus using Regularization.pdf,Improved NBA Adjusted +/- Using Regularization and Out-of-Sample Testing,2010,NBA,8,8,7,23,public,no,"Sill introduces ridge regression (RAPM) and out-of-sample validation to APM, the basis of modern impact metrics."
curated,2011 Adjusted Plus Minus Omidiran UC Berkeley.pdf,A New Look at Adjusted Plus/Minus for Basketball Analysis,2011,NBA,5,6,6,17,public,no,Recasts APM as penalized regression with cross-validated lambda and a fast solver; incremental over Sill's RAPM.
curated,2011 An_Improved_Adjusted_Plus_Minus_Statististic - McDonald.pdf,An Improved Adjusted Plus-Minus Statistic for NHL Players,2011,NHL,6,7,7,20,public,no,Extends NHL APM to power-play/shorthanded situations and zone-start adjustment using NHL.com shift reports.
curated,2011 Evaluating-Basketball-Player-Performance-via-Statistical-Network-Modeling.pdf,Evaluating Basketball Player Performance via Statistical Network Modeling,2011,NBA,7,5,6,18,public,no,Random-walk network centrality plus bootstrap significance on five-man-unit graphs to rate player importance.
curated,2011 Forecasting-Performance-of-International-Players-in-the-NBA.pdf,Forecasting Performance of International Players in the NBA,2011,NBA,5,6,5,16,mixed,no,Regressions linking international league statistics to NBA draft position and success for 140 foreign-born players.
curated,2011 Moral Hazard in Long Term Guaranteed Contracts - NBA.pdf,Moral Hazard in Long-Term Guaranteed Contracts: Theory and Evidence from the NBA,2011,NBA,5,5,7,17,public,no,"Fixed-effects evidence of a ~10% contract-year performance bump, with a principal-agent model explaining it."
curated,2011 Optimizing NBA Free Agency Choices.pdf,Optimizing an NBA Team's Approach to Free Agency using a Multiple-Choice Knapsack Model,2011,NBA,6,4,5,15,none,no,Frames free-agency timing/bidding as a dynamic multiple-choice knapsack problem under the salary cap.
curated,2011 Player Eval Techniques - NBA.pdf,A New Player Evaluation Technique for Players of the NBA,2011,NBA,7,7,6,20,public,no,Engelmann's finite-state-machine credit model outperforming RAPM in out-of-sample prediction; precursor to ESPN RPM.
curated,2011 The Price of Anarchy in Basketball.pdf,The Price of Anarchy in Basketball,2011,NBA,8,4,8,20,none,no,"Skinner's influential game-theoretic analogy: selfish shot selection vs global offensive optimum, with a basketball Braess paradox."
curated,2011 Using Cumulative Win Probabilities to Predict NCAA Performance - Bashuk.pdf,Using Cumulative Win Probabilities to Predict NCAA Basketball Performance,2011,NCAA MBB,5,6,7,18,public,yes,"Ranks teams by in-game cumulative win probability rather than final margin, beating ASM/RPI accuracy."
curated,2012 An_Expected_Goals_Model_for_Evaluating_NHL - McDonald.pdf,An Expected Goals Model for Evaluating NHL Teams and Players,2012,NHL,7,7,7,21,public,no,"Early expected-goals model beating Corsi/Fenwick predictively, fed into ridge-regression adjusted plus-minus."
curated,2012 Big 2s and 3s Best Players Complement Each Other.pdf,Big 2's and Big 3's: Analyzing How a Team's Best Players Complement Each Other,2012,NBA,5,5,6,16,public,no,K-means player archetypes plus regression to find which top-2/top-3 archetype combinations over- or under-perform.
curated,2012 CourtVision.pdf,CourtVision: New Visual and Spatial Analytics for the NBA,2012,NBA,8,7,7,22,public,no,Goldsberry's field-defining spatial shot-chart analytics quantifying shooting range and spatial scoring signatures.
curated,2012 Deconstructing the Rebound - Rajiv Maheswaran.pdf,Deconstructing the Rebound with Optical Tracking Data,2012,NBA,8,6,3,17,proprietary,no,"First large-scale SportVU tracking study of rebound physics: shot location, rebound height, and optimal positioning."
curated,2012 Effort vs Concentration Impact of Pressure NBA.pdf,Effort vs. Concentration: The Asymmetric Impact of Pressure on NBA Performance,2012,NBA,7,4,7,18,public,no,1.3M possessions show home players choke on clutch free throws but exert more offensive-rebounding effort under pressure.
curated,2012 Experience and Winning in the NBA.pdf,Experience and Winning in the National Basketball Association,2012,NBA,4,5,6,15,public,no,Panel econometrics on 804 team-seasons: coach playoff experience and teammate continuity aid postseason success; player experience doesn't.
curated,2012 Forecasting NBA Player Performance Douglas Hwang.pdf,Forecasting NBA Player Performance using a Weibull-Gamma Statistical Timing Model,2012,NBA,5,5,6,16,public,no,Applies marketing-style Weibull-Gamma timing models to project player scoring trajectories and aging for contract valuation.
curated,2012 NBA Chemistry Positive and Negative Synergies.pdf,NBA Chemistry: Positive and Negative Synergies in Basketball,2012,NBA,7,6,6,19,public,no,"Skills Plus-Minus framework simulates lineups from skill ratings, quantifying synergies and finding mutually beneficial trades."
curated,2012 Sports Data Mining Technology Used in Basketball Outcome Predicti.pdf,Sports Data Mining Technology Used in Basketball Outcome Prediction,2012,NBA,3,4,6,13,public,unknown,Masters dissertation applying standard data-mining classifiers to basketball game outcome prediction.
curated,2012 Sports Negotiations.pdf,A Systematic Approach to Sports Negotiations,2012,general,2,3,1,6,none,no,"Corporate slide deck on negotiation technique; no data, models, or quantitative analysis."
curated,2012 Using Computer Vision and Machine Learning to Automatically Classify NFL Game Film and Develop a Player Tracking System.pdf,Using Computer Vision and Machine Learning to Automatically Classify NFL Game Film and Develop a Player Tracking System,2018,NFL,7,7,4,18,mixed,no,"Computer vision on All-22 film auto-labels formations and extracts player tracking, circumventing teams' lack of league-wide NGS access."
curated,2013 Acceleration in the NBA Slides.pdf,Acceleration in the NBA: Towards an Algorithmic Taxonomy of Basketball Plays (slides),2013,NBA,4,3,2,9,proprietary,no,Slide deck companion to the acceleration/burst-clustering paper on SportVU tracking data.
curated,2013 Acceleration in the NBA Towards an Algorithmic Taxonomy of Basketball Plays.pdf,Acceleration in the NBA: Towards an Algorithmic Taxonomy of Basketball Plays,2013,NBA,6,4,3,13,proprietary,no,"First study of player acceleration bursts from optical tracking, clustering burst locations toward an algorithmic play taxonomy."
curated,"2013 Testing the Utility of the Pythagorean Expectation Formula on Division One CFB - Cary Caro, Ryan Machtmes.pdf",Testing the Utility of the Pythagorean Expectation Formula on Division One College Football,2013,CFB,3,5,8,16,public,no,Applies James's Pythagorean expectation and Morey's exponent to Division I college football 2005-2011 via residual analysis.
curated,2013 The Dwight Effect A New Ensemble of Interior Defense Analytics for the NBA.pdf,The Dwight Effect: A New Ensemble of Interior Defense Analytics for the NBA,2013,NBA,8,6,3,17,proprietary,no,Pioneering tracking-based interior defense metrics and 'spatial splits' quantifying rim protection value of big men.
curated,2013 To Crash or Not To Crash A quantitative look at the relationship between offensive rebounding and transition defense in the NBA.pdf,To Crash or Not To Crash: Offensive Rebounding vs. Transition Defense in the NBA,2013,NBA,7,7,3,17,proprietary,no,"Tracking-derived crash/retreat indices quantify the tradeoff between offensive rebounding and transition defense, informing coaching strategy."
curated,2013 To Crash or not to crash Slides.pdf,To Crash or Not To Crash: Offensive Rebounding vs. Transition Defense (slides),2013,basketball,6,6,2,14,proprietary,no,Slide deck for MIT SportVU study quantifying tradeoff between crashing offensive boards and getting back on defense.
curated,"2013 Using Zone Entry Data To Separate Offensive, Neutral, And Defensive Zone Performance.pdf","Using Zone Entry Data To Separate Offensive, Neutral, And Defensive Zone Performance",2013,hockey,8,8,5,21,mixed,no,Hand-tracked NHL zone entries show carry-ins double dump-in shot output and neutral zone drives shot differential; foundational hockey microstat work.
curated,2014 Automatically Recognizing On-Ball Screens.pdf,Automatically Recognizing On-Ball Screens,2014,basketball,7,6,3,16,proprietary,no,"Rule-based segmentation plus ML classifier detects pick-and-rolls in SportVU tracking with 82% sensitivity, 80% PPV."
curated,2014 Factorized Point Process Intensities - Spatial Analysis.pdf,Factorized Point Process Intensities: A Spatial Analysis of Professional Basketball,2014,basketball,8,6,6,20,public,no,LGCP plus NMF decomposition of NBA shot charts into interpretable spatial bases; landmark spatial basketball methodology.
curated,2014 From 5 to 13 Positions in Basketball Slides.pdf,From 5 to 13: Redefining the Positions in Basketball (slides),2012,basketball,7,4,2,13,public,no,Alagappan's topological data analysis talk clustering NBA players into 13 positions from box-score stats; famous but methodologically opaque.
curated,2014 Hot Hand Fallacy.pdf,"The Hot Hand: A New Approach to an Old ""Fallacy""",2014,basketball,8,5,3,16,proprietary,no,"Controls for shot difficulty with SportVU tracking; hot players take harder shots, and a small 1.2-2.4pp hot hand emerges."
curated,2014 Pointwise Predicting Points and Valuing Decisions.pdf,POINTWISE: Predicting Points and Valuing Decisions in Real Time with NBA Optical Tracking Data,2014,basketball,9,7,3,19,proprietary,no,"Introduces Expected Possession Value (EPV), assigning a point value to every moment and decision of an NBA possession; field-defining."
curated,2014 Pointwise Slides.pdf,POINTWISE: Predicting Points and Valuing Decisions (slides),2014,basketball,9,6,2,17,proprietary,no,"Slide deck for the EPV (expected possession value) framework by Cervone, D'Amour, Bornn, and Goldsberry."
curated,2014 Quantifying Shot Quality in the NBA - Second Spectrum.pdf,Quantifying Shot Quality in the NBA,2014,basketball,7,7,2,16,proprietary,no,Second Spectrum's ESQ/EFG+ framework separating shot quality from shot-making ability using SportVU tracking features.
curated,2014 The Three Dimensions of Rebounding.pdf,The Three Dimensions of Rebounding,2014,basketball,8,6,3,17,proprietary,no,"Decomposes rebounding into Positioning, Hustle, and Conversion using Voronoi tessellations over SportVU tracking; SSAC best-paper winner."
curated,2014 Three Dimensions of Rebounding.pdf,The Three Dimensions of Rebounding (duplicate copy),2014,basketball,8,6,3,17,proprietary,no,Duplicate of Maheswaran et al.'s Positioning/Hustle/Conversion rebounding decomposition from Second Spectrum.
curated,2014_Elivelton_FerreiraBueno.pdf,Mathematical Modeling and Optimization Approaches for Scheduling the Regular-Season Games of the National Hockey League,2014,hockey,5,4,5,14,public,no,PhD thesis applying integer programming and heuristics to construct NHL regular-season schedules under travel and rule constraints.
curated,2014_SSAC_The-Three-Dimensions-Of-Rebounding.pdf,The Three Dimensions of Rebounding (duplicate copy),2014,basketball,8,6,3,17,proprietary,no,"Third duplicate copy of the Second Spectrum rebounding decomposition paper (Positioning, Hustle, Conversion)."
curated,2015 Beyond runs expectancy - Jim Albert.pdf,Beyond runs expectancy,2015,baseball,6,6,7,19,public,unknown,"Extends Lindsey's run expectancy with multinomial/multilevel models capturing team, ballpark, pitcher, and clutch covariate effects."
curated,"2015 Bias in the log5 estimation of outcome of batter-pitcher matchups, and an alternative - Leslie C. Morey and Mark A. Cohen.pdf","Bias in the log5 estimation of outcome of batter/pitcher matchups, and an alternative",2015,baseball,5,6,8,19,public,no,Monte Carlo and 18 MLB seasons show log5 overestimates rare-event matchup outcomes; proposes closed-form Morey-Z alternative.
curated,"2015 College deviance and the effects on NFL amateur draft selection - Analyzing the Personal Conduct Policy - Michael Palmera, Quinlan Duhanb and Brian P. Soebbing.pdf",College deviance and the effects on NFL amateur draft selection: Analyzing the Personal Conduct Policy,2015,football,4,4,5,13,mixed,no,"Regression of 1999-2013 draft positions on final-year college misconduct, testing whether Goodell's 2007 conduct policy changed team behavior."
curated,2015 Counterpoints Advanced Defensive Metrics NBA.pdf,Counterpoints: Advanced Defensive Metrics for NBA Basketball,2015,basketball,8,6,3,17,proprietary,no,"Estimates who-is-guarding-whom every moment from tracking data, yielding counterpoints, volume/disruption scores, and defensive shot charts."
curated,2015 Graphical Model for Baskeball Match Simulation.pdf,Graphical Model for Basketball Match Simulation,2015,basketball,7,6,5,18,public,no,"Player-identity-aware probabilistic graphical model simulating possessions touch-by-touch, capturing lineup-dependent ball movement dynamics."
curated,2015 Graphical Model for Basketball Match Simulation.pdf,Graphical Model for Basketball Match Simulation (duplicate copy),2015,basketball,7,6,5,18,public,no,"Duplicate of Oh, Keshri, and Iyengar's lineup-aware possession-level basketball match simulator."
curated,2015 Modeling NBA Game Outcomes - Univ of Cologne.pdf,Modeling and forecasting the outcomes of NBA basketball games,2015,basketball,5,5,7,17,public,no,"Extends paired-comparison score models with heteroscedasticity, structural breaks, and dynamic state-space team strengths; combining with betting odds helps."
curated,2015 No referee bias in the NBA - New evidence with leagues' assessment data - Christian Deutscher.pdf,No referee bias in the NBA: New evidence with leagues' assessment data,2015,basketball,6,4,7,17,public,no,"First use of NBA Last Two Minute report call-by-call assessments; finds no home, superstar, or underdog bias in foul calling."
curated,2015 Predicting Sports Scoring Dynamics UC Boulder.pdf,Predicting sports scoring dynamics with restoration and anti-persistence,2015,multi-sport,7,5,4,16,proprietary,no,"Generative within-game scoring models with lead-restoration and anti-persistence predict next scorer and winner across NFL, CFB, NHL, NBA."
curated,2016 A Scalable Framework for NBA Player and Team Comparisons Using Player Tracking Data - Scott Bruce.pdf,A Scalable Framework for NBA Player and Team Comparisons Using Player Tracking Data,2016,basketball,4,6,7,17,public,no,PCA on public NBA.com tracking-derived stats yields four components and a Statistical Diversity Index for player/team similarity comparisons.
curated,"2016 An easily implemented and accurate model for predicting NCAA tournament at-large bids - B. Jay Colemana, J. Michael DuMond and Allen K. Lynch.pdf",An easily implemented and accurate model for predicting NCAA tournament at-large bids,2016,basketball,5,7,8,20,public,no,"Eight-factor probit on RPI-based resume metrics predicts NCAA at-large selections, hitting 68 of 72 out-of-sample bids for 2014-15."
curated,"2016 An improvement to the baseball statistic ""Pythagorean Wins"" - Jay Heumann.pdf","An improvement to the baseball statistic ""Pythagorean Wins""",2016,baseball,4,4,9,17,public,no,Pairwise (opponent-by-opponent) Pythagorean formulation fixes an expectation inconsistency and modestly lowers RMSE over 60 season-league samples.
curated,2016 Applying Deep Learning to Basketball Trajectories.pdf,Applying Deep Learning to Basketball Trajectories,2016,basketball,6,4,7,17,public,yes,"LSTM sequence models on 20,000 publicly-dumped SportVU three-point trajectories outperform feature-engineered GBM at predicting makes."
curated,2016 Complementary Skills NBA.pdf,Accounting for Complementary Skill Sets When Evaluating NBA Players' Values to a Specific Team,2016,basketball,7,6,5,18,public,no,"Structural possession event-tree model quantifies teammate complementarities, lineup-specific player value, and shows salaries ignore spillovers."
curated,2016 Find the Open Receiver QB Decision Making.pdf,Finding the Open Receiver: A Quantitative Geospatial Analysis of Quarterback Decision-Making,2016,football,6,5,3,14,proprietary,no,Predictive Voronoi tessellations over video-charted Colts pass plays quantify receiver openness and grade QB decision-making.
curated,2016 Meta-Analytics -- Tools for Understanding the Statistical Propertis of Sports Metrics.pdf,Meta-Analytics: Tools for Understanding the Statistical Properties of Sports Metrics,2016,multi-sport,7,7,7,21,public,no,"Proposes meta-metrics — stability, discrimination, independence — to evaluate which NBA/NHL player metrics carry reliable, unique signal."
curated,2016 Meta-Analytics.pdf,Meta-Analytics: Tools for Understanding the Statistical Properties of Sports Metrics (duplicate copy),2016,multi-sport,7,7,7,21,public,no,"Duplicate of Franks, D'Amour, Cervone, and Bornn's meta-metrics framework for assessing sports metrics."
curated,2016 NBA Court Realty.pdf,NBA Court Realty,2016,basketball,7,5,3,15,proprietary,no,"Treats court space as a real-estate market, inferring cell values from pass 'transactions' in weighted-Voronoi ownership of SportVU data."
curated,2016 NBA Offensive Plays using Neural Networks.pdf,Classifying NBA Offensive Plays Using Neural Networks,2016,basketball,7,6,3,16,proprietary,no,"Deep/recurrent neural networks classify NBA offensive playcalls from SportVU tracking, with season-to-season transfer tests."
curated,2016 Preventing in-game Injuries NBA.pdf,Preventing In-game Injuries for NBA Players,2016,basketball,6,7,5,18,mixed,no,"Random forest on sliding-window workload, schedule, and SportVU-derived stats predicts weekly NBA injury risk to guide rest decisions."
curated,2016 Rajiv Shah Deep Learning Bball Trajectory UIUC .pdf,Applying Deep Learning to Basketball Trajectories,2016,basketball,6,4,7,17,public,yes,LSTM/MDN sequence model on 20k public SportVU ball trajectories beats feature-engineered GBM at predicting three-point makes.
curated,2016 Recognizing and Analyzing Ball Screen Defense NBA.pdf,Recognizing and Analyzing Ball Screen Defense in the NBA,2016,basketball,7,7,2,16,proprietary,no,"Supervised classifier labels 270k NBA ball screens as over/under/trap/switch from SportVU, enabling team and player defensive-scheme analysis."
curated,2016 Recognizing and Analyzing Ball Screen Defense in the NBA.pdf,Recognizing and Analyzing Ball Screen Defense in the NBA,2016,basketball,7,7,2,16,proprietary,no,"Duplicate of idx 65: SportVU-based classification of pick-and-roll defensive schemes across 270,823 screens."
curated,2016 Scorekeeper Bias Basketball Nick Van Exel.pdf,The Van Exel Effect: Adjusting for Scorekeeper Bias in NBA Box Scores,2016,basketball,7,6,5,18,mixed,no,"Quantifies home-scorekeeper bias in NBA assists and blocks and produces adjusted totals, with daily-fantasy implications."
curated,2016 Sports Ratings models slides - David Aldous.pdf,Sports Rating Models (Lecture 3 slides),2016,general,3,4,5,12,public,no,"Teaching slides surveying Elo-style and probabilistic rating models for two-competitor sports; pedagogical, not original research."
curated,2016 Statistical methods in sports with a focus on win probability and.pdf,Statistical Methods in Sports with a Focus on Win Probability and Performance Evaluation,2016,football,7,8,7,22,public,unknown,Lock's dissertation including the influential Lock-Nettleton random-forest NFL win probability model and performance-evaluation methods.
curated,2016 Stochastic Process Model Basketball.pdf,A Multiresolution Stochastic Process Model for Predicting Basketball Possession Outcomes (EPV),2016,basketball,9,7,5,21,proprietary,yes,Field-defining Expected Possession Value framework: multiresolution stochastic process on optical tracking valuing every instant of an NBA possession.
curated,2016 The Shrinkage of the Pythagorean exponents - John Chen and Tengfei Li.pdf,The Shrinkage of the Pythagorean Exponents,2016,basketball,4,5,8,17,public,no,Shows the optimal NBA Pythagorean exponent shrinks substantially when used for in-season prediction rather than in-sample fit.
curated,2016 spatio temporal analysis for team sports.pdf,Spatio-Temporal Analysis of Team Sports - A Survey,2016,multi-sport,4,5,7,16,none,no,Comprehensive survey categorizing research using spatio-temporal tracking data in invasion sports and identifying open problems.
curated,2017 - International Journal of Computer Science in Sport A Logistic Regression_Markov Chain Model for American College Football.pdf,A Logistic Regression/Markov Chain Model for American College Football,2017,college football,5,6,7,18,public,no,"Extends the LRMC basketball ranking model to college football via common-opponent margins, competitive with top composite rankings."
curated,2017 AI for Fixing Play by Play Substitutions.pdf,Using AI to Correct Play-by-play Substitution Errors,2017,basketball,5,7,6,18,public,no,"Rule/inference agent cleans erroneous substitution logs in 6000+ Canadian U Sports games so lineup metrics (APM, WOWY) become usable."
curated,2017 Bhostgusters - Realtime Interactive Play Sketching with Synthesized NBA Defenses.pdf,Bhostgusters: Realtime Interactive Play Sketching with Synthesized NBA Defenses,2018,basketball,7,6,2,15,proprietary,no,Tablet whiteboard app converts sketched plays to synthetic tracking and uses deep imitation-learned ghosts to show likely NBA defensive responses.
curated,2017 Body Shots - Analyzing Shooting Styles in the NBA using Body-Pose Attributes.pdf,Body Shots: Analyzing Shooting Styles in the NBA using Body-Pose Attributes,2017,basketball,7,5,2,14,proprietary,no,"First body-pose-attribute analysis of NBA three-point shooting form from broadcast video, including a Steph Curry case study."
curated,2017 Data Driven Ghosting.pdf,Data-Driven Ghosting using Deep Imitation Learning,2017,soccer,8,6,2,16,proprietary,no,Deep imitation learning automatically generates league-average and team-specific defensive 'ghosts' from soccer tracking data; highly influential.
curated,2017 Football Route Identification.pdf,American Football Route Identification Using Supervised Machine Learning,2017,football,6,6,4,16,proprietary,no,"Supervised classification of receiver routes from hand-digitized All-22 coordinates of 2014 Colts plays, prefiguring later tracking-based route work."
curated,2017 High-resolution shot capture reveals systematic biases and an improved method for shooter evaluation.pdf,High-resolution Shot Capture Reveals Systematic Biases and an Improved Method for Shooter Evaluation,2018,basketball,7,7,2,16,proprietary,no,22M Noahlytics rim-entry captures reveal systematic left-right/depth shooting biases and train a 25-shot ML shooter-skill ranker.
curated,2017 Hockey Passing Defensive Ability.pdf,Evaluating Defensive Ability in Hockey Using Passing Data,2017,hockey,6,6,5,17,mixed,no,Volunteer-tracked pass sequences on 565 NHL games yield defensive passing metrics more repeatable and predictive than shot-based measures.
curated,2017 LinNet - Probabilistic Lineup Evaluation Through Network Embedding.pdf,LinNet: Probabilistic Lineup Evaluation Through Network Embedding,2017,basketball,6,5,6,17,public,unknown,node2vec embedding of an NBA lineup-matchup network predicts lineup-vs-lineup outcomes at 67% accuracy with well-calibrated probabilities.
curated,2017 PageRank Model for Player Performance Assessment.pdf,"A PageRank Model for Player Performance Assessment in Basketball, Soccer and Hockey",2017,multi-sport,5,4,5,14,mixed,no,"Game-level PageRank over pass/turnover networks rates individual playmaking across both teams, illustrated on nine NBA games."
curated,2017 Position importance in NCAA football - Zachary Knowlton and Gilbert W. Fellingham.pdf,Position Importance in NCAA Football,2017,college football,5,5,3,13,proprietary,no,"Bayesian hierarchical model links BYU coaches' per-play player grades to expected points, ranking player and position importance."
curated,2017 Possession Sketches - Mapping NBA Strategies.pdf,Possession Sketches: Mapping NBA Strategies,2017,basketball,8,6,3,17,proprietary,no,LDA-style topic model over a learned dictionary of movement 'actions' organizes 190k NBA possessions by offensive structure for searchable scouting.
